All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,Source
culture medium + 20% FBS + 5% DMSO + 60 mM Trehalose,5%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",<10%,Not mentioned ,Not mentioned ,,,10.1089/bio.2012.0005,,,,,,,,,,
culture medium + 20% FBS + 2.5% DMSO + 30 mM Trehalose,2.50%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",<10%,Not mentioned ,Not mentioned ,,,10.1089/bio.2012.0005,,,,,,,,,,
culture medium + 20% FBS + 264 mM Trehalose,0%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",<10%,Not mentioned ,Not mentioned ,,,10.1089/bio.2012.0005,,,,,,,,,,
culture medium + 5% DMSO + 20% FBS + 500 mM Trehalose,5%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",73 ± 3.3%,Not mentioned ,Not mentioned ,,,10.1089/bio.2012.0005,,,,,,,,,,
culture medium + 7% DMSO + 5% HES + 2% BSA,7%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",45 ± 2.93%,Not mentioned ,Not mentioned ,,,10.1089/bio.2012.0005,,,,,,,,,,
culture medium + 5% DMSO + 4% HES + 4% FBS,5%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",38 ± 5.18%,Not mentioned ,Not mentioned ,,,10.1089/bio.2012.0005,,,,,,,,,,
culture medium + 10% DMSO + 12% HES + 8% FBS,10%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",80 ± 6.39%,Not mentioned ,Not mentioned ,,,10.1089/bio.2012.0005,,,,,,,,,,
culture medium + 30 μM Caspase Inhibitor z-VAD-fmk + 10% DMSO + 20% FBS,10%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",79 ± 0.54%,Not mentioned ,Not mentioned ,,,10.1089/bio.2012.0005,,,,,,,,,,
culture medium + 90% FBS + 10% DMSO,10%,"-1°C/min to -40°C, then -10°C/min to -70°C,then rapid to -196°C",90 ± 0.7%,Not mentioned ,Not mentioned ,,,10.1089/bio.2012.0005,,,,,,,,,,
"Human serum (HS), 10% DMSO, 20% hydroxychyl starch ",10%,"according to the BioArchive profile curve, and stored at – 196 ° C.",63.02% ± 2.33%,81.03% ± 4.30%,38 ± 1.69 h,Thawing involved stepwise dilution with a solution containing 20% HS and 5% ACD.Viability assessed by flow cytometry (PI & Annexin V）,"Results showed a high post-thawing cell recovery rate 114% ± 2.90% and relatively high viability at 72.71% ± 2.12% but will keep decreasing to around 81.03% ± 4.30% and 63.02% ± 2.33% along with the time and differentiation ability haven’t showed a big impact after thawing. The result showed that MSSF (1°C/min, FS-1) is the optimal solution with highest viability (87±5%) and vitrification showed a poor result in general.",10.3109/14653249.2012.677820,,,,,,,,,,
0.1 M Sucrose + 10% DMSO + 20% FBS in L-15 media,10%,"2℃/min to 0℃ and then 1℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",87 ± 5%,Not mentioned ,Not mentioned ,Trypan blue dye for viability test and Flow cytometry for checking cell surface markers,"Current Stem Cell Research & Therapy, 2013, 8, 60-72",10.3109/14653249.2012.677820,,,,,,,,,,
0.1 M Sucrose + 10% DMSO + 20% FBS in L-15 media,10%,"2℃/min to 0℃ and then 0.3℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",76 ± 4%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
0.1 M Sucrose + 10% DMSO + 20% FBS in L-15 media,10%,1°C/min to –80°C and then -196°C,70 ± 5%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
0.2 M Trehalose + 10% DMSO + 20% FBS in L-15 media,10%,"2℃/min to 0℃ and then 1℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",82 ± 6%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
0.2 M Trehalose + 10% DMSO + 20% FBS in L-15 media,10%,"2℃/min to 0℃ and then 0.3℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",75 ± 5%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
0.2 M Trehalose + 10% DMSO + 20% FBS in L-15 media,10%,1°C/min to –80°C and then -196°C,66 ± 7%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
HES + 5% DMSO + 4% HSA in L-15 media,5%,"2℃/min to 0℃ and then 1℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",70 ± 1%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
HES + 5% DMSO + 4% HSA in L-15 media,5%,"2℃/min to 0℃ and then 0.3℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",60 ± 9%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
HES + 5% DMSO + 4% HSA in L-15 media,5%,1°C/min to –80°C and then -196°C,55 ± 1%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
0.1 M Sucrose + 1.5 M EG + 20% FBS in L-15 media,0%,"2℃/min to 0℃ and then 1℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",80 ± 7%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
0.1 M Sucrose + 1.5 M EG + 20% FBS in L-15 media,0%,"2℃/min to 0℃ and then 0.3℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",71 ± 5%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
0.1 M Sucrose + 1.5 M EG + 20% FBS in L-15 media,0%,1°C/min to –80°C and then -196°C,65 ± 8%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
10% DMSO + 20% FBS in DMEM/F-12 media,10%,"2℃/min to 0℃ and then 1℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",85 ± 6%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
10% DMSO + 20% FBS in DMEM/F-12 media,10%,"2℃/min to 0℃ and then 0.3℃/min to - 40℃, 5℃/min to - 80℃ and finally -196℃",78 ± 8%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
10% DMSO + 20% FBS in DMEM/F-12 media,10%,1°C/min to –80°C and then -196°C,67 ± 7%,Not mentioned ,Not mentioned ,,,10.3109/14653249.2012.677820,,,,,,,,,,
"Equilibration Solution: 20% Ethylene Glycol (EG), 20% Fetal Bovine Serum (FBS), in DPBS",0%,"Vitrification: Rapid cooling by plunging into liquid nitrogen (~2500°C/min to 5000°C/min), exact rate not specified",84.3 ± 3.2%,"Post-thaw: Retained fibroblast-like morphology, proliferation up to Passage 14 (30-31 doublings), maintained expression of MSC markers (CD44, CD49d, CD59, CD90, CD105, HLA-ABC) and ESC markers (Oct-4, TRA-1-60, SSEA-3, SSEA-4), differentiated into osteoblasts, adipocytes, and chondrocytes","Post-thaw: Average 3.4 days (Passage 3 to 14), comparable to non-cryopreserved HAMs (3.3 days)","HAMs isolated from 10 human placentas (Cesarean section) with IRB approval, treated with trypsin and collagenase/DNase, cultured in DMEM-LG with 10% FBS; vitrification with two-step exposure (20% EG for 5 min, then 40% EG + 18% Ficoll 70 + 0.3 M sucrose for 40 s), plunged into liquid nitrogen in cryovials, stored for 2 weeks, thawed in 37°C water bath with stepwise sucrose dilution; viability assessed by Trypan Blue, morphology and proliferation monitored to Passage 14, surface antigens (CD31, CD34, CD44, etc.) analyzed by flow cytometry, ESC markers (Oct-4, Nestin, etc.) by RT-PCR and immunocytochemistry, differentiation (osteogenic, adipogenic, chondrogenic) evaluated with Von Kossa, Oil Red O, and Alcian Blue staining; statistical analysis with χ² test (p<0.05).","Vitrification yielded 84.3 ± 3.2% viability, preserving fibroblast-like morphology, proliferation (doubling time 3.4 days), and MSC/ESC marker expression (CD44, CD90, Oct-4, TRA-1-60) post-thaw; cells differentiated into osteoblasts (CBFA-1), adipocytes (LPL), and chondrocytes (Decorin) similarly to non-cryopreserved controls; EG-based solution (EFS 40) outperformed slow freezing and combinations with DMSO/PROH, with Ficoll 70 enhancing permeation; limitations include short 2-week storage and potential contamination risks from liquid nitrogen.",10.1093/humrep/den202,,,,,,,,,,
"Vitrification Solution: 40% Ethylene Glycol (EG), 18% Ficoll 70, 0.3 M Sucrose, 20% FBS, in DPBS",0%,"Thawing: Rapid warming in 37°C water bath, exact rate not specified",84.3 ± 3.2%,"Post-thaw: Retained fibroblast-like morphology, proliferation up to Passage 14 (30-31 doublings), maintained expression of MSC markers (CD44, CD49d, CD59, CD90, CD105, HLA-ABC) and ESC markers (Oct-4, TRA-1-60, SSEA-3, SSEA-4), differentiated into osteoblasts, adipocytes, and chondrocytes","Post-thaw: Average 3.4 days (Passage 3 to 14), comparable to non-cryopreserved HAMs (3.3 days)",,,10.1093/humrep/den202,,,,,,,,,,
"6% Hydroxyethyl Starch, 20% DMSO, in 50 mL cell suspension (final 10% DMSO)",10%,"Controlled-rate freezing at -1°C/min to -80°C, then gas-phase liquid nitrogen storage",Not Mentioned,Not Mentioned,Not mentioned ,"HPC collected from 94 patients (2013–2022) via apheresis, platelet depletion, volume reduction, cryopreserved with 10% DMSO + 6% HES in EVA bags, controlled-rate freezing (MiniDigitcool), stored in gas-phase LN2; microbiological testing negative",,10.1186/s12967-022-03703-1,,,,,,,,,,
"6% Hydroxyethyl Starch (1:1 dilution with thawed bag), processed via Sepax-2 S100 SmartWash program",Residual DMSO removed (>95% reduction),Not Mentioned,78%,"CD34+ cell recovery: 75% (66–83%) (Run 1), 73% (64–79%) (Run 2); maintained functionality (CFU-GM for allogeneic grafts)",Not mentioned ,"Thawing with Smart-Max (9 min static + 1 min dynamic at 37°C), 1:1 dilution with 6% HES, Sepax-2 S100 SmartWash to concentrate 2 bags into 1 (150 mL), same day, same operator, 3–4 h interval (n=45); CD34+/CD45+ viability via flow cytometry (Stem-Kit, ISCT protocol), CFU-GM assay for allogeneic; Mann-Whitney, Bland-Altman analysis (p≤0.05, GraphPad Prism 5)","Comparable CD34+ recovery (75% vs. 73%, p=0.54) and viability (CD34+ 78% vs. 78%, CD45+ 79% vs. 80%, p=0.85/0.59), bias near 0% (Bland-Altman); recovery linked to initial product quality",10.1186/s12967-022-03703-1,,,,,,,,,,
"6% Hydroxyethyl Starch (1:1 dilution with thawed bag), processed via Sepax-2 S100 SmartWash program",Residual DMSO removed (>95% reduction),Not Mentioned,84%,"CD34+ cell recovery: 77% (68–85%) (Run 1), 77% (70–84%) (Run 2); maintained functionality (CFU-GM for allogeneic grafts)",Not mentioned ,"Thawing with Smart-Max (9 min static + 1 min dynamic at 37°C), 1:1 dilution with 6% HES, Sepax-2 S100 SmartWash to concentrate 2 bags into 1 (150 mL), different days, different operators (n=49); CD34+/CD45+ viability via flow cytometry (Stem-Kit, ISCT protocol), CFU-GM assay for allogeneic; Mann-Whitney, Bland-Altman analysis (p≤0.05, GraphPad Prism 5)","Comparable CD34+ recovery (77% vs. 77%, p=0.74) and viability (CD34+ 84% vs. 85%, CD45+ 79% vs. 78%, p=0.95/0.69), bias near 0% (Bland-Altman); recovery linked to initial product quality",10.1186/s12967-022-03703-1,,,,,,,,,,
"10% Glycerol, 2:1 DMEM/HAM F12, 10% FBS, 4 mM L-glutamine, 50 μg/mL penicillin-streptomycin, 5 μg/mL insulin, 0.4 μg/mL hydrocortisone, 0.18 mM adenine, 8.1 μg/mL cholera toxin, 2 nM triiodothyronine, 10 ng/mL EGF",0%,"Slow rate-controlled cooling using isopropanol freezing container (Mr. Frosty) to -20°C for 24h, then liquid nitrogen",60.6% ± 7.9%,"Maintained clonogenic capacity (CFE 17.0% ± 0.1% clonogenic, 3.6% ± 1.2% abortive), proliferative capacity (CCD 45 ± 7.6 doublings), and differentiation (p63α 33.1% ± 21.7% at P3, 21.0% ± 7.0% at P5; K19 63.8% ± 17.9% at P3, 65.5% ± 12.3% at P5)",Not mentioned ,"Conjunctival cells from 3 cadaveric donors (36–79 years) isolated by trypsin/EDTA, cultured on 3T3-J2 feeder layer, cryopreserved in 0.5 mL 10% glycerol solution with culture medium, slow cooling (Mr. Frosty) to -20°C for 24h then liquid nitrogen for 30 days; viability by trypan blue, quality tests (CFE, CCD, immunohistochemistry) over 6 passages; statistical analysis with two-tailed t-test (p<0.05, SPSS v24)","Viability 60.6% ± 7.9%, lower than DMSO (p=0.001); maintained proliferative (CCD 45 ± 7.6), clonogenic (CFE 17.0% ± 0.1%), and differentiation capacity (p63α, K19 unchanged, p≥0.05)",10.1089/bio.2020.0091,,,,,,,,,,
"CryoStor CS10 (10% DMSO, serum-free), 2:1 DMEM/HAM F12, 10% FBS, 4 mM L-glutamine, 50 μg/mL penicillin-streptomycin, 5 μg/mL insulin, 0.4 μg/mL hydrocortisone, 0.18 mM adenine, 8.1 μg/mL cholera toxin, 2 nM triiodothyronine, 10 ng/mL EGF",10%,"Slow rate-controlled cooling using isopropanol freezing container (Mr. Frosty) to -20°C for 24h, then liquid nitrogen",79.9% ± 7.0%,"Maintained clonogenic capacity (CFE 16.4% ± 0.9% clonogenic, 3.2% ± 0.8% abortive), proliferative capacity (CCD 47 ± 3.3 doublings), and differentiation (p63α 20.1% ± 11.4% at P3, 22.9% ± 21.7% at P5; K19 68.9% ± 10.1% at P3, 64.0% ± 12.5% at P5)",Not mentioned ,"Conjunctival cells from 3 cadaveric donors (36–79 years) isolated by trypsin/EDTA, cultured on 3T3-J2 feeder layer, cryopreserved in 0.5 mL CryoStor CS10 (10% DMSO) with culture medium, slow cooling (Mr. Frosty) to -20°C for 24h then liquid nitrogen for 30 days; viability by trypan blue, quality tests (CFE, CCD, immunohistochemistry) over 6 passages; statistical analysis with two-tailed t-test (p<0.05, SPSS v24)","Viability 79.9% ± 7.0%, higher than glycerol (p=0.001); maintained proliferative (CCD 47 ± 3.3), clonogenic (CFE 16.4% ± 0.9%), and differentiation capacity (p63α, K19 unchanged, p≥0.05)",10.1089/bio.2020.0091,,,,,,,,,,
Culture medium (2:1 DMEM/HAM F12 with supplements),,Rapid thawing at 37°C,Not Mentioned,Not Mentioned,Not mentioned ,"Rapid thawing at 37°C, centrifugation at 112×g for 5 min, resuspension in culture medium",,10.1089/bio.2020.0091,,,,,,,,,,
"95% FBS, 5% DMSO",5%,-1 ◦C/min to −80 ◦C,68.50%,Not measured ,Not measured ,The cells were thawed at 37C. Cell viability was measured by TC20 automated cell counter using 0.4% tryphan blue.,"DMSO and Ethylene glycol showed equal efficeincy, and addition of sucrose does not significantly affect post-thaw viability. Glycerol not efficient, however the addition of sucrose does imporve performance.",10.1007/s10517-021-05187-3,,,,,,,,,,
"92.5% FBS, 7.5% DMSO",7.50%,-1 ◦C/min to −80 ◦C,69.50%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"90% FBS, 10% DMSO",10%,-1 ◦C/min to −80 ◦C,73.50%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"95% FBS, 5% DMSO + 0.2M sucrose",5%,-1 ◦C/min to −80 ◦C,70%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"92.5% FBS, 7.5% DMSO + 0.2M sucrose",7.50%,-1 ◦C/min to −80 ◦C,71%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"90% FBS, 10% DMSO + 0.2M sucrose",10%,-1 ◦C/min to −80 ◦C,73.10%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"95% FBS, 5% Ethylene Glycol",0%,-1 ◦C/min to −80 ◦C,69.60%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"92.5% FBS, 7.5% Ethylene Glycol",0%,-1 ◦C/min to −80 ◦C,72%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"90% FBS, 10% Ethylene Glycol",0%,-1 ◦C/min to −80 ◦C,73.80%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"95% FBS, 5% Ethylene Glycol + 0.2M sucrose",0%,-1 ◦C/min to −80 ◦C,68.20%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"92.5% FBS, 7.5% Ethylene Glycol + 0.2M sucrose",0%,-1 ◦C/min to −80 ◦C,73%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"90% FBS, 10% Ethylene Glycol + 0.2M sucrose",0%,-1 ◦C/min to −80 ◦C,74.90%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"95% FBS, 5% Glycerol",0%,-1 ◦C/min to −80 ◦C,42.40%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"92.5% FBS, 7.5% Glycerol",0%,-1 ◦C/min to −80 ◦C,47.60%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"90% FBS, 10% Glycerol",0%,-1 ◦C/min to −80 ◦C,52.10%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"95% FBS, 5% Glycerol + 0.2M sucrose",0%,-1 ◦C/min to −80 ◦C,50.30%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"92.5% FBS, 7.5% Glycerol + 0.2M sucrose",0%,-1 ◦C/min to −80 ◦C,55.30%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
"90% FBS, 10% Glycerol+ 0.2M sucrose",0%,-1 ◦C/min to −80 ◦C,69.00%,Not measured ,Not measured ,,,10.1007/s10517-021-05187-3,,,,,,,,,,
50 mg/ml P1 (PEG−PA; 5000−500) in DMEM,0%,-1 ◦C/min to −80 ◦C then transferred to liquid nitrogen at -196°C,Not reported ,70%,Not measured ,"PEG−PA block copolymers were synthesized via the ring-opening polymerization of N-carboxy anhydrides of L-alanine initiated by α-amino-ω-methoxy PEG. Post thaw, the cells were counted using trypan blue staining.  The cell recovery values at 24 h after plating were calculated by multiplying cell recovery after thawing and optical density at 450 nm at 24 h after plating",the PEG−PA (5000−500) block copolymer is suggested to be a promising antifreezing cryoprotectant for stem cells,https://doi.org/10.1021/acsami.1c09933,,,,,,,,,,
50 mg/ml P1(45) (PEG−PA; 5000−500) in DMEM ,0%,-1 ◦C/min to −80 ◦C then transferred to liquid nitrogen at -196°C,Not reported ,87%,Not measured ,Thawed at 45C,,https://doi.org/10.1021/acsami.1c09933,,,,,,,,,,
50 mg/ml P2 (PEG−PA; 5000−760) in DMEM,0%,-1 ◦C/min to −80 ◦C then transferred to liquid nitrogen at -196°C,Not reported ,50%,Not measured ,,,https://doi.org/10.1021/acsami.1c09933,,,,,,,,,,
30 mg/ml P3(PEG−PA; 5000−1750) in DMEM,0%,-1 ◦C/min to −80 ◦C then transferred to liquid nitrogen at -196°C,Not reported ,20%,Not measured ,,,https://doi.org/10.1021/acsami.1c09933,,,,,,,,,,
50 mg/ml P4 (PEG−PA; 1000−750) in DMEM,0%,-1 ◦C/min to −80 ◦C then transferred to liquid nitrogen at -196°C,Not reported ,15%,Not measured ,,,https://doi.org/10.1021/acsami.1c09933,,,,,,,,,,
50 mg/ml PEG 5000 in DMEM,0%,-1 ◦C/min to −80 ◦C then transferred to liquid nitrogen at -196°C,Not reported ,35%,Not measured ,,,https://doi.org/10.1021/acsami.1c09933,,,,,,,,,,
50 mg/ml PEG 1000 in DMEM,0%,-1 ◦C/min to −80 ◦C then transferred to liquid nitrogen at -196°C,Not reported ,17%,Not measured ,,,https://doi.org/10.1021/acsami.1c09933,,,,,,,,,,
30 mg/ml 80% Hydrolysed PVA in DMEM,0%,-1 ◦C/min to −80 ◦C then transferred to liquid nitrogen at -196°C,Not reported ,10%,Not measured ,,,https://doi.org/10.1021/acsami.1c09933,,,,,,,,,,
30 mg/ml 100% Hydrolysed PVA in DMEM,0%,-1 ◦C/min to −80 ◦C then transferred to liquid nitrogen at -196°C,Not reported ,12%,Not measured ,,,https://doi.org/10.1021/acsami.1c09933,,,,,,,,,,
"2% human serum (HS), 10% DMSO, CSSC medium (DMEM low glucose + MCDB-201 mixture, supplemented with 2% HS, EGF, PDGF-BB, ITS, ascorbic acid-2-phosphate, dexamethasone, penicillin-streptomycin, gentamicin)",10%,-1°C/min to 80°C and stay overnight then to -196°C,88.0 ± 0.8%,not mention,1.0 ± 0.1 days (at passage 3),Trypan blue exclusion test and Ki-67 immunofluorescence staining were used to assess the properties of Cell viability and Proliferation.,"The result showed all three groups maintained the CSSCs morphology and stem cell phenotype, higher viability and the anti-inflammatory function was not lost. The optimal cryoprotectant is 4% human serum (HS), 10% DMSO, CSSC medium.",10.1089/ten.TEC.2019.0195,,,,,,,,,,
"4% human serum (HS)+10% DMSO, CSSC medium (same composition as above)",10%,-1°C/min to 80°C and stay overnight then to -196°C,92.7 ± 1.3%,not mention,1.0 ± 0.1 days (at passage 3),,,10.1089/ten.TEC.2019.0195,,,,,,,,,,
90% human serum (HS)+10% DMSO,10%,-1°C/min to 80°C and stay overnight then to -196°C,90.0 ± 1.4%,not mention,1.0 ± 0.1 days (at passage 3),,,10.1089/ten.TEC.2019.0195,,,,,,,,,,
"10%DMSO+10% Dulbecco’s modified Eagle’s medium/F12 Ham’s, 80% FBS",10%,not explicited mentioned but finally store at 196°C,81.10%,not mention,not mention,Trypan blue exclusion test with hemocytometer counting for viability test and Colony-forming unit (CFU) assays was testing the differentiation potential.,"The result showed the optimal cell concentration was 0.5×10⁶ cells/mL and protocol is 10% DMSO, 10% Dulbecco’s modified Eagle’s medium/F12 Ham’s, 80%FBS which got 81.1% viability eventually.",10.1002/term.35,,,,,,,,,,
α-MEM with 0.2M Sucrose ,0%,-1°C/min to 80°C and stay overnight then to -196°C,45%,not mention,Not mention,two-stage centrifugation was used to separate Platelet-poor plasma from platelet-rich plasma from blood samples. MSC were pretreated for 24 hrs in complete cell culture supplemented with 0.1M sucrose. Tryphan blue was used to assess viability,use of PPP increased post-thaw viability by a lot,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
α-MEM with 0.2M Sucrose + 1% DMSO,1%,-1°C/min to 80°C and stay overnight then to -196°C,68%,not mention,Not mention,,,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
α-MEM with 0.2M Sucrose + 2% DMSO,2%,-1°C/min to 80°C and stay overnight then to -196°C,68.90%,not mention,Not mention,,,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
α-MEM with 0.2M Sucrose + 5% DMSO,5%,-1°C/min to 80°C and stay overnight then to -196°C,79.60%,not mention,Not mention,,,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
α-MEM with 0.2M Sucrose + 10% DMSO,10%,-1°C/min to 80°C and stay overnight then to -196°C,85.60%,not mention,Not mention,,,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
PPP with 0.2M Sucrose ,0%,-1°C/min to 80°C and stay overnight then to -196°C,0.00%,not mention,Not mention,,,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
PPP with 0.2M Sucrose + 1% DMSO,1%,-1°C/min to 80°C and stay overnight then to -196°C,77%,not mention,Not mention,,,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
PPP with 0.2M Sucrose + 2% DMSO,2%,-1°C/min to 80°C and stay overnight then to -196°C,79%,not mention,Not mention,,,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
PPP with 0.2M Sucrose + 5% DMSO,5%,-1°C/min to 80°C and stay overnight then to -196°C,83%,not mention,Not mention,,,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
PPP with 0.2M Sucrose + 10% DMSO,10%,-1°C/min to 80°C and stay overnight then to -196°C,86.50%,not mention,Not mention,,,https://doi.org/10.1155/2019/4150690,,,,,,,,,,
"electroporation buffer (10 mM K2HPO4, 10 mM KH2PO4, 1 mM MgCl2) ",0%,-1°C/min to 80°C and stay overnight then to -196°C,5%,not mentioned ,not mentioned ,Electroporation was used to introduce trehalose to the cells. Tryphan blue was used for cell viability,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
electroporation buffer + 10 mM trehalose,0%,-1°C/min to 80°C and stay overnight then to -196°C,6%,not mentioned ,not mentioned ,adipose derived mesenchymal cells ,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
electroporation buffer + 50 mM trehalose,0%,-1°C/min to 80°C and stay overnight then to -196°C,12.50%,not mentioned ,not mentioned ,,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
electroporation buffer + 100 mM trehalose,0%,-1°C/min to 80°C and stay overnight then to -196°C,40%,not mentioned ,not mentioned ,,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
electroporation buffer + 250 mM trehalose,0%,-1°C/min to 80°C and stay overnight then to -196°C,72%,not mentioned ,not mentioned ,,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
"electroporation buffer (10 mM K2HPO4, 10 mM KH2PO4, 1 mM MgCl2) ",0%,-1°C/min to 80°C and stay overnight then to -196°C,2%,not mentioned ,not mentioned ,umbilical-cord-derived mesenchymal,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
electroporation buffer + 10 mM trehalose,0%,-1°C/min to 80°C and stay overnight then to -196°C,4%,not mentioned ,not mentioned ,,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
electroporation buffer + 50 mM trehalose,0%,-1°C/min to 80°C and stay overnight then to -196°C,14.00%,not mentioned ,not mentioned ,,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
electroporation buffer + 100 mM trehalose,0%,-1°C/min to 80°C and stay overnight then to -196°C,38%,not mentioned ,not mentioned ,,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
electroporation buffer + 250 mM trehalose,0%,-1°C/min to 80°C and stay overnight then to -196°C,82%,not mentioned ,not mentioned ,,,https://doi.org/10.1007/s10616-021-00465-4,,,,,,,,,,
"electroporation buffer (10 mM K2HPO4, 10 mM KH2PO4, 1 mM MgCl2) + 250 mM",0%,-1°C/min to 80°C and stay overnight then to -196°C,82%,not mentioned ,not mentioned ,,,10.1007/s00232-016-9916-z,,,,,,,,,,
"electroporation buffer (10 mM K2HPO4, 10 mM KH2PO4, 1 mM MgCl2) + 450 mM",0%,-1°C/min to 80°C and stay overnight then to -196°C,75%,not mentioned ,not mentioned ,,,10.1007/s00232-016-9916-z,,,,,,,,,,
,,,,,,,,10.1007/s00232-016-9916-z,,,,,,,,,,
547.98 dmso(mM) + 5.08 fbs(%) + 4.61 hes(%) + 4.29 hsa(%) + 4.16 sp2(%) + 3.48 pvp(%) + 2.44 poly(%) + 2.24 peg(%),,slow freeze,88.5%,,,,,,,,,,,,,,,Lab
540.62 dmso(mM) + 8.00 fbs(%) + 7.61 poly(%) + 7.58 pvp(%) + 7.18 hsa(%) + 3.99 peg(%) + 3.78 sp2(%) + 3.58 hes(%),,slow freeze,92.0%,,,,,,,,,,,,,,,Lab
